"Date","Main Pollutant","Site Name","Site ID","Ozone AQI Value"
"04/28/2014","","Concord","06-013-0002","42"
"04/29/2014","","Redwood City","06-081-1001","47"
"04/30/2014","","Livermore - Rincon","06-001-0007","101"
"05/01/2014","","Concord","06-013-0002","106"
"05/02/2014","","Concord","06-013-0002","44"
"05/03/2014","","Bethel Island","06-013-1002","39"
"05/04/2014","","Livermore - Rincon","06-001-0007","33"
"05/05/2014","","Redwood City","06-081-1001","36"
"05/06/2014","","Bethel Island","06-013-1002","35"
"05/07/2014","","Redwood City","06-081-1001","40"
"05/08/2014","","Hayward - La Mesa","06-001-2001","39"
"05/09/2014","","Concord","06-013-0002","39"
"05/10/2014","","Livermore - Rincon","06-001-0007","36"
"05/11/2014","","Livermore - Rincon","06-001-0007","36"
"05/12/2014","","Redwood City","06-081-1001","45"
"05/13/2014","","Hayward - La Mesa","06-001-2001","84"
"05/14/2014","","Livermore - Rincon","06-001-0007","111"
"05/15/2014","","San Ramon","06-013-2007","64"
"05/16/2014","","Bethel Island","06-013-1002","43"
"05/17/2014","","Bethel Island","06-013-1002","36"
"05/18/2014","","Bethel Island","06-013-1002","33"
"05/19/2014","","Bethel Island","06-013-1002","31"
"05/20/2014","","Livermore - Rincon","06-001-0007","34"
"05/21/2014","","Bethel Island","06-013-1002","38"
"05/22/2014","","Bethel Island","06-013-1002","42"
"05/23/2014","","Bethel Island","06-013-1002","33"
"05/24/2014","","Bethel Island","06-013-1002","33"
"05/25/2014","","Bethel Island","06-013-1002","38"
"05/26/2014","","Bethel Island","06-013-1002","35"
"05/27/2014","","Bethel Island","06-013-1002","42"
"05/28/2014","","Concord","06-013-0002","42"
"05/29/2014","","Livermore - Rincon","06-001-0007","44"
"05/30/2014","","Bethel Island","06-013-1002","40"
"05/31/2014","","Bethel Island","06-013-1002","46"
"06/01/2014","","Bethel Island","06-013-1002","49"
"06/02/2014","","Bethel Island","06-013-1002","32"
"06/03/2014","","Livermore - Rincon","06-001-0007","42"
"06/04/2014","","Livermore - Rincon","06-001-0007","84"
"06/05/2014","","Livermore - Rincon","06-001-0007","41"
"06/06/2014","","Concord","06-013-0002","38"
"06/07/2014","","Livermore - Rincon","06-001-0007","58"
"06/08/2014","","Livermore - Rincon","06-001-0007","47"
"06/09/2014","","Livermore - Rincon","06-001-0007","64"
"06/10/2014","","Livermore - Rincon","06-001-0007","34"
"06/11/2014","","Livermore - Rincon","06-001-0007","35"
"06/12/2014","","Bethel Island","06-013-1002","31"
"06/13/2014","","Bethel Island","06-013-1002","40"
"06/14/2014","","Livermore - Rincon","06-001-0007","39"
"06/15/2014","","Bethel Island","06-013-1002","34"
"06/16/2014","","Bethel Island","06-013-1002","32"
"06/17/2014","","Bethel Island","06-013-1002","35"
"06/18/2014","","Livermore - Rincon","06-001-0007","37"
"06/19/2014","","Bethel Island","06-013-1002","46"
"06/20/2014","","Livermore - Rincon","06-001-0007","37"
"06/21/2014","","Bethel Island","06-013-1002","37"
"06/22/2014","","Bethel Island","06-013-1002","39"
"06/23/2014","","Bethel Island","06-013-1002","39"
"06/24/2014","","Bethel Island","06-013-1002","33"
"06/25/2014","","Bethel Island","06-013-1002","19"
"06/26/2014","","Bethel Island","06-013-1002","29"
"06/27/2014","","Bethel Island","06-013-1002","23"
"06/28/2014","","Bethel Island","06-013-1002","32"
"06/29/2014","","Livermore - Rincon","06-001-0007","48"
